"rand_index","index","translation","reference_translation","accuracy"
395,14,"Der HER stärkt der Fokus der Leute auf die Verbesserung der Umwelt, indem er biosphärische Werte aktiviert.","Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.",""
396,403,"Das Haupthdernis bei dieser Analyse besteht darin, dass die Daten, die oft für Standard-Indkatoren (z.B. niedriges Einkommen - hohe Kosten) für viele Länder nicht zur Verfügung stehen, daher mussten neue Wege erkundet werden, um energie-vulnerable KonsumentInnen zu definieren.","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
397,37,"Ein genauerer Blick auf die Norm zum Energiesparen könnte den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
398,419,"Die Europische Kommission (EC) bemht sich umfassend um die Lösung desProblems, wie die  jüngste Einfhrung des EU Energy Poverty Observatory im Januar 2018 zeigt.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
399,109,"Eine weitere ","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
400,240,"Das HER beinhaltet verschiedene Elemente, insbesondere einem statischen Nachbar-Energieverbrauch-Systems (eine deskriptive Norm), Rückmeldung der individuellen Leistung (eine injunktive Norm), sowie Energiespartipps.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
401,199,"Ein zweiter Ansatz dieses Berichts ist, mögliche Mechanismen zu testen, die den HEr effektiv machen.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
402,378,"Zudem sind die unterschiedlichen, zur Verfügung stehenden Daten in EU-Ländern der Grund, weshalb eine fragmentierte und oft ""nicht kompatible"" Segmentierung in den verschiedenen Mitgliedstaaten geschieht. ","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
403,464,"Ein wichtiger Punkt, der von der ECbetont wird, ist wie wichtig es ist von Erfahrungen zu lernen und von den besten Lösungsansätzen in verschiedenen Mitgliederstaaten(MS) zu  profitieren","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
404,331,"Um dieses Hindernis zu überwinden, ist es nötig, den Hintergrund zu ergründen, vor dem die Pliotmassnahmen angewendet werden sollen (d.h. die analyse der Situationen in den Mitgliedstaaten) und eine zielgerichtete Marktsegmentation durchzuführen, indem existierende Datenbanken analysiert und verbessert werden, auf die ","Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.",""
405,293,"Die EC betont allerdings wie wichtig es ist, von den Best Practices und den Erfahrungen der eigenen Mitgliedstaaten zu lernen. ","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
406,384,"Vor diesem Hintergrund zielt das Projekt (das von der ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
407,140,"Ein zweiter Mechanismus ist also vielleicht, dass die im HER gelieferten Informationen die umweltbezogene Selbst-Identität erh","Ein zweiter Mechanismus könnte also sein, dass die im HER enthaltenen Informationen die ökologische Selbstidentität der Konsumentinnen und Konsumenten stärken.",""
408,90,"Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Personen zugunsten der Umwelt.","Durch die Aktivierung von biosphärischen Werten stärkt der HER den Fokus der Konsumentinnen und Konsumenten, zum Umweltschutz beizutragen.",""
409,235,"Die Influenz von sozialen Informationen auf das Verhalten wurde in verschiedenen Einstellungen demonstriert.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
410,178,"Der Einfluss von sozialen Information auf Verhaltensweisen wurde in verschiedenen Szenarien gezeigt. ","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
411,163,"So konnte di Forschung beispielsweise veranschaulichen, dass die Tatsache, dass den Leuten mitgeteilt wird, wie sie im Vegleich zu anderen abschneiden,","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
412,321,"Der erste Teil dieses Artikels fasst die Resultate der statistischen Analyse zusammen, die durchgeführt wurde, um ""energy-poor"" oder ""energy-vulnerable"" Kosumenten zu definieren, da keine einheitliche europäische Definition existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
413,201,"Eine stärkere Wahrnehmung der Norm in die Richtung der Energieeinsparung könnte dann den Energieverbrauch beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
414,332,"Energiearmut stellt eine der grössten gesellschaftlichen, technischen und rechtlichen Herausforderungen im gegenwärtigen Europa dar. Gemäss Schätzungen sind rund 50 bis  125 Millionen Menschen in Europa von Energiearmut betroffen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
415,358,"Einer der von der EC ","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
416,398,"Die Europäische Kommission (EK) hat grosse Anstrengungen unternommen, um das Problem zu lösen, wie zum Beispiel das im Januar 2018 lancierte Programm EU Energy Poverty Observatory.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
417,408,"Ein Haupthindernis bei der Durchführung dieser Analyse ist, dass die Daten, die häufig für Standardindikatoren verwendet werden (zum Beispiel tiefes Einkommen, hohe Kosten) in vielen Ländern nicht verfügbar sind. Es mussten also neue Wege erforscht werden, um zu verstehen, was ein ""energiegefährdeter Verbraucher"" ist.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
418,306,"Vor diesem Hintergrund versucht das hier erwähnte Projekt (von Der EU-Kommission","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
419,299,"Solche Ratgeber sind speziell trainiert um solche Pilotaktionen durchzuführen indem sie anfällige Konsumenten (VCs) helfen, die Energiekonsumption zu optimieren (und möglicherweise zu reduzieren), dies meist durch Einen Wechsel im Verhalten.","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
420,380,"Der zweite Teil d","Um dieses Problem zu lösen, musste der Kontext definiert werden, in dem die Pilotmassnahmen implementiert werden sollen (die Situation in den analysierten EU-Mitgliedsstaaten). Auch musste eine zielgerichtete Marktsegmentierung durchgeführt werden, mittels einer Analyse und Ergänzung von verfügbaren Datenbeständen, welche ähnliche und kompatible Indikatoren aufweisen.",""
421,301,"Diese Arbeit sammelt zunächst die ersten Resultate der oben erwähnten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
422,511,"Energiearmut ist eines der Hauptprobleme im sozialen, technischen Bereich sowie in der Gesetzgebung Europas heute, wobei die Anzahl Betreoffener auf  50 bis 125 Millionen Personen geschätzt wird.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
423,414,"Die grösste Herausforderung bei der Durchführung diese Analyse bestand darin, dass Daten oft für Standardangaben (z.B. Tiefes Einkommen Hohe Kosten) nicht in allen Ländern vorhanden sind. So mussten neue Wege gefunden werden, um ""","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
424,357,"Die Europäische Kommision (EC) setzt sich stark für die Lösung dieses Problems ein, beispelsweise mit dem jüngsten Start des Eu Energy Poverty Observatory im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
425,435,"Die Europäische Kommission bemüht sich stark, dieses Problem zu lösen, wie zum Beispiel die Kürzliche Gründung des EU Energy Povery Observatory im Januar 2018 gezeigt hat.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
426,288,"Die European Commission (EC) hat grossen Aufwand betrieben, um dieses Problem zu lösen, wie zum Bespiel der kürzliche Launch des EU Energy Poverty Observatory im Januar 2018 gezeigt hat.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
427,162,"Der Einfluss sozialer Informationen auf das Verhalten  konnte in mehreren Settings aufgezeigt werden.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
428,500,"Einer der von der EK hervorgehobenen Punkte ist die Wichtigkeit des Lernens aus Erfahrung und von den besten Praktiken, die in verschiedenen Mitgliedsstaaten (MS) angewandt werden.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
429,124,"Trotz eines zunehmenden Interesses ","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
430,397,"Energiearmut ist eines der grössten sozialen, technischen und gesetzgeberischen Probleme der heutigen Zeit in Europa. Das Problem betrifft zwischen  50 und 125 Millionen Menschen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
431,461,"Auf dieser Grundlage zielt das hier berichtete Projekt (gegründet con der EU Kommission durch das Gran Agreement Nr.12345), ","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
432,492,"Der erste Teil der Studie fasst die Resultate der statistischen Analyse zusammen, welche durchgeführt wurde, um zu definieren, wer als ""energiearm"" oder ""energieverletzlich"" gilt, da es keine allgemeingültige Definition in Europa dafür gibt.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
433,133,"Obwohl das Interesse an der Forschung im Bereich des sozialen Vergleichs zunimmt, bleiben mehrere Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
434,491,"Diese Studie sammelt die ersten Resultate der oben genannten Aufgaben.","Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.",""
435,463,"Die Europäische Kommission (EC) hat viel Aufwand investiert zum dieses Problem zu läsen, wie man zum Beispiel  am neusten Projet EU Energy Poverty Observatory sehen kann, welches Januar 2018 startete.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
436,352,"Die Hauptschwierigkeit bei der Durchführung dieser Analyse besteht darin, das die Daten, welche für Standardindikatoren (z. B. Tiefes Einkommen Hohe Kosten) nötig sind, in vielen Ländern nicht verfügbar sind, so dass neue Wege gefunden werden müssen, um eine Defintion für energieschwache Konsumenten zu finden.","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
437,50,"Zuerst testen wir, ob der HER Report die Eindrücke eines Individuums von der Norm im Bereich Energiesparen.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
438,502,"Mit diesem Hintergrund versucht das hier vorgestellte Projekt, das von der EU Kommission unter dem Grant Agreement 12345 finanziert wurde und welches das Consumption Resaerch Institute als Partner hat,die besten Praktiken und Empfehlungen zu finden um Energiarmut anzugehen.","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
439,218,"In unserem Paper stellen wir die Hypothese, dass eine wichtige Quelle von heterogenen Effekten, welche in der Opower peer comparison beobachtet wurden, die umwelttechnischen Werte von KonsumentInnen sein könnte.","In unserer Studie stellen wir die Hypothese auf, dass die ökologischen Werte der Konsumentinnen und Konsumenten eine wichtige Ursache für die heterogenen Effekte sind, die bei den Teilnehmenden der Vergleichsstudie von Opower festgestellt wurden.",""
440,284,"Die Europäische Kommission (EK) investierte viel Aufwand in diese Problem, wie zum Beispiel bei der Einführung der EU Energiearmutsobservation im Januar 2018.","Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.",""
441,171,"Ein weiteres Ziel dieser Studie ist, mögliche Mechanismen zu untersuchen, die HER effizenter gestalten.","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
442,328,"Der erste Teil der Arbeit fasst die Ergebnisse der  statistischen Analyse, die durchgeführt wurde, um ""energiearm"" und ""energygefährdet"" zu definieren, zusammen, da keine allgemeine, für ganz Europa geltende Definition existiert.","Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.",""
443,186,"Eine stärkere Empfindung der Norm, energie zu sparen, könnte da die Energiekonsum beeinflussen.","Eine stärkere Wahrnehmung der Norm, Energie zu sparen, könnte dann den Energieverbrauch beeinflussen.",""
444,413,"Der erste Teil des Papers fasst die Resultat einer statistischen Analyse zusammen, die durchgeführt wurde, um den Begriff ""energy poor"" oder ""energy vulnerable"" Konsument richtig zu deuten, da eine einheitliche europäische Definition nicht existiert.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
445,93,"Der Einfluss sozialer Informationen auf das Verhalten wurde in einer Reihe verschiedener Settings aufgezeigt.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
446,44,"Der HER besteht aus verschiedenen Bestandteilen: einen statischen Vergleich bezüglich des Energieverbrauchs mit den Nachbarn (deskriptive Norm), ","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
447,157,"Untersuchungen zeigen, dass Menschen ihren Energie- und Wasserverbrauch, ihren Beitrag zu wohltätigen Projekten und ihre Sparmassnahmen ändern, wenn man ihnen sagt, wie sic ihr Verhalten gegenüber anderen vergleicht.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
448,241,"Ein weiteres Anliegen dieser Studie ist es, mögliche Mechanismen zu bestimmen, welche das HER effektiver machen können. ","Ein weiteres Ziel dieser Studie ist es, mögliche Mechanismen zu überprüfen, um die Wirksamkeit des HER steigern zu können.",""
449,394,"Das grösste Hindernis bei der Durchführung dieser Analyse ist, dass die Daten, die oft für Standardindikatioren(z. B. Tiefes Einkommen, hohe  Kosten) in viele Ländern gar nicht verfügbar sind. Deshalb müssen neue Möglichkeiten erforscht werden, um den Begriff des energieempfindichen Verbrauchers zu definieren.","Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.",""
450,221,"Ein weiterer wichtiger Gap in der Wis","Eine weitere Forschungslücke ist das mangelnde Verständnis für die Mechanismen hinter den Reaktionen einer Person auf den Opower-HER in Hinsicht auf ihren Energieverbrauch. ",""
451,383,"Die EC hat z. B. betont, wie wichtig es ist, von den Erfahrungen und Best Practices der einzelnen Mitgliedstaaten zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
452,236,"Zum Beispiel indizieren Versuche, dass bei Leuten denen gesagt wird, wie sie sich mit vergleichbaren Menschen schlagen, die Leute ihre Energie und Wasserkonsum, ihre Kontribution zu Spende-Zwecken und Ihre Spar-Entscheidungen verbessernn.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
453,100,"Der HER enthält verschiedene Elemente, einschliesslich eines statischen Nachbarvergleichs von Energieverbrauchsstufen (eine deskriptive Norm), Feedback bezüglich individueller Leistung (eine Norm) sowie Energiespartipps.","Der HER enthält verschiedene Elemente, unter anderem einen statischen Nachbarschaftsvergleich des Energieverbrauchniveaus (deskriptive Norm), Rückmeldungen dazu, wie man selbst abschneidet (injunktive Norm) und Energiespartipps.",""
454,423,"Der erste Teil der Studie fasst die Ergebnisse einer statistischen Analyse zusammen, welche durchgeführt wurde, um nachvollziehen zu können, wie ""energiearm"" und ""energiegefährdet"" zu definieren sind, da eine gemeinsame europäische Definition fehlt.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
455,152,"W","Während ökologische Werte ein Leben lang mehr oder weniger unverändert bleiben, kann ökologische Selbstidentität beispielweise durch Informationen zu Energiesparmassnahmen beeinflusst werden.",""
456,367,"Einer der Punkte, welcher von der EK betont wird, ist die Wichtigkeit, von den Erfahrungen und besten Praktiken in den verschiedenen Mitgliedsstaaten zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
457,290,"Dies im Auge behaltend, zielt d","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
458,83,"Die verfügbaren Daten aus der Nutzung zeigt auf, ob eine Person die sozialen Informationen durch den Home Energy Report erhält, die Frequenz und die Art der sozialen Information, der Umgang der Kunden damit und der Energieverbrauch.","Die Daten des Energieversorgers spezifizieren, ob eine Person einen HER mit sozialen Informationen erhält, die Häufigkeit und Art der sozialen Informationen, den Umgang der Kundinnen und Kunden damit und ihren Energieverbrauch.",""
459,36,"Zunächst testen wir, ob das HER die individuellen Aspekte im Rahmen des Energiesparens aufzeigt.","Zuerst wird getestet, ob der HER beeinflusst, wie Einzelpersonen Normen im Bereich des Energiesparens wahrnehmen.",""
460,132,"Beispielsweise zeigen Untersuchungen, dass Menschen ermutigt werden, ihren Energie- und Wasserverbrauch, ihre Spenden für wohltätige Zwecke und ihre Sparentscheidungen zu verändern, wenn ihnen gesagt wird, wie sie im Vergleich zu anderen, ähnlichen Menschen abschneiden.","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
461,287,"Energiearmut is eine der Hauptprobleme betreffend Sozialem, Technischem und Legislativem in der heutigen Zeit in Europa. Die geschätzte Anzahl Personen, die betroffen sind, beträgt zwischen 50 und 125 Millionen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
462,134,"Im Besonderen ist relativ wenig bekannt über die Ursachen der Heterogenität der Wirkung ","Insbesondere ist relativ wenig bekannt über die Ursachen der Heterogenität, die in den Auswirkungen von typischen Sozialvergleichsexperimenten beobachtet wurden – wie etwa beim Programm Haushalt-Elektrizitäts-Report (HER) von Opower.",""
463,445,"Dies im Hinterkopf, versucht das Projekt (von der EU Komission unter Grant Agreement .12345 gefördert), von welchem Energy Conmsuption Research ein Partner ist, die besten Prakiken und Empfehl","Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.",""
464,272,"Ein Punkt vom EC ist die Wichtigkeit von Erfahrungen zu lernen und die beste Praktis an ","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
465,5,"Das Konservationsverhalten von Leuten mit hohen biosphärischen Werten wurde in der Literatur ausführlich studiert, es ist jedoch sehr wenig über die ""Individual zu Kollegen"" Vergleiche bekannt.","Während das Umweltschutzverhalten von Menschen mit ausgeprägten biosphärischen Werten in der Literatur gut dokumentiert ist, weiss man relativ wenig darüber, wie Konsumentinnen und Konsumenten auf Peer-Vergleiche reagieren.",""
466,191,"In dieser Arbeit testen wir den Effekt des sozialen Vergleichs der Energiekonservierung und ob dies mit der Höhe des Umweltbewusstseins zusammenhängt.","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
467,230,"Zum Beispiel hat die Forschung gezeigt, dass wenn man Menschen sagt, wie sich ihre Aktionen mit denen anderer vergleichen, ähnliche Menschen dadurch ermutigt werden. ihren Strom- und Wasserverbrauch. ihre Beteiligung an Wohltätigkeit und ihre Ersparnisse zu modifizieren-","Forschungsergebnisse zeigen beispielsweise auf, dass Personen motivierter sind, ihren Energie- und Wasserverbrauch, ihr Spenden- und Sparverhalten zu verändern, wenn ihr Verhalten mit dem von ihnen vergleichbaren Personen direkt verglichen wird.",""
468,465,"Energie Armut ist eine der grössten sozialen, technischen und legislativen Probleme des gegenwertigen Europas, mit einer geschätzten Nummer von 50 bis 125 Millionen betroffenen Personen.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
469,54,"Trotz des wachsenden Interesses an Untersuchungen zu sozialem Vergleich verbleiben zahlreiche offene Fragen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
470,370,"In diesem Dokument werden die ersten Ergebnisse dieser beiden Aufgabenstellungen vorgestellt.","In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. ",""
471,498,"Energiearmut ist eines der wichtigsten sozialen, technischen und gesetgeberischen Probleme im Moment in Europa mit einer geschätzen Zahl von 50 bis 125 Millionen Betroffener.","Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. ",""
472,158,"Trotz des steigenen Interesses an der Forschung zu spzialen Vergleichen bleiben noch viele Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
473,10,"Obwohl die Interesse an der Forschung an sozialem Vergleich steigt, bleiben einige Fragen offen.","Trotz des wachsenden Interesses an sozialer Vergleichsforschung bleiben viele Fragen offen.",""
474,226,"In dieser Arbeit testen wir ob es Auswirkungen gibt aufgrund sozialer Vergleiche zum Thema Energiekonsum und ob diese Auswirkungen davon anhängig sind, inwiefern diese Individuen hohe umweltbezogene Werte haben. ","In dieser Studie testen wir, ob sozialer Vergleich einen Einfluss auf das Energiesparverhalten hat und ob dieser Einfluss von der individuellen Ausprägung der ökologischen Werte abhängt.",""
475,353,"Zusätzlich führen die Unterschiede in den Daten aus den EU-Ländern zu fragmentieren und oft unvergleichbarer Konsumentenssegmentierungen in den Mitgliedsstaaten.","Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.",""
476,360,"Hierfür wird gemeinsam mit einer Beratergruppe, den sogenannten HEAs (Home Energy Advisors","Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).",""
477,471,"Einer der Punkte, welche von der EC hervorgehoben wurde, ist die Wichtigkeit von Erfahrung und den besten Praktiken in verschiedenen Mitgliedsstaaten (MS) zu lernen.","Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.",""
478,244,"Der Einfluss von sozialen Informationen auf das Verhalten ist in einer Vielzahl von Umgebungen bewiesen worden.","Der Einfluss von sozialen Informationen auf das Verhalten wurde bereits in diversen Bereichen nachgewiesen.",""
