control_number;id;group;text;condition;sentence_nr;translation;reference_translation
213;CN2;Mul;Text2;ELF;7;Im Projekt ist Energy Consumption Research Institute verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
214;CN2;Mul;Text2;ELF;8;Diese Arbeit sammelt die ersten Resultate der obig erwähnten Aufgabenstellungen. ;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
215;CN2;Mul;Text2;ELF;9;"Der erste Teil dieser Arbeit fasst die Resultate der statistischen Analyse zusammen, welches dazu dient einen ""energiearmen"" oder einen ""energieverletzlichen"" Konsumenten zu definieren, da eine gängige europäische Definition dieser n";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
216;CN3;Mul;Text2;ELF;2;Die Energiearmut ist eine der Hauptprobleme, die heute in Europa (sozial, technisch und legislativ). Mit einer geschätzten Anzahl von ungefähr 50 bis 125 Millionen Mensche.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
217;CN3;Mul;Text2;ELF;3;Die Europäisch Koommision (EC) hat einen grossen Aufwand betrieben, um dieses Problem zu bewältigen, wie sie es zum Beispiel mit dem kürzlichen Start der EU Energie Armut Beobachtung im Janurat 2018 gezeigt haben- ;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
218;CN4;Mul;Text2;SE;8;In diesem Projekt ist die Energy Consumption Research Institure zuständig für das technische Training der HEAs und für die Planung der pilot actions.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
219;CN4;Mul;Text2;SE;9;Dieser Bericht präsentiert die ersten Resultate dieser zwei Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
220;CN4;Mul;Text2;SE;10;"Der erste Teil des Berichts fasst die Resultate einer statistischen Analyse zusammen, welches in Stande gesetzt wurde, um die ""energie-armen"" oder ""energie-empfindlichen"" Konsumenten zu definieren, da keine allgemeine europäische Definition existiert.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
221;CN4;Mul;Text2;SE;11;Das Hauptproblem bei der Umsetzung der Analy;Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
222;CN5;Mul;Text2;ELF;8;Diese Arbeit sammelt die ersten Resultate von den oben genannten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
223;CN5;Mul;Text2;ELF;9;Der erste Teil dieser Arbeit fasst die Resultate einer statistischen Analyse, die ausgefuert wurde um zu verstehen wie ein EnergieArmer oder Energie-verletzbarer Konsument definiert wird, zusammen, da keine geminsame Europaeische Defintion besteht.;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
224;CN5;Mul;Text2;ELF;10;"Der Hauptteil bei dieser Analyse ist, dass Daten, die oft fuer standard Indikatoren genommen werden (z.B. tiefes Einkommen, Hohe Kosten) in vielen Ländern nicht erhältlich sind, also müssen neue Wege, wie ein ""energie-verletzlicher Konsument"" zu verstehen ist, untersucht werden.";Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
225;CN5;Mul;Text2;ELF;11;Zusätzlich führt die Erhältlichkeit von verschiedenen Daten in den EU Ländern zu einer r;Unterschiede in den verfügbaren Datensätzen der EU-Länder führten zudem zu lückenhaften und oftmals inkompatiblen Konsumentensegmentierungen zwischen den Mitgliedsstaaten.
226;CN6;Mul;Text2;ELF;7;Verantwortlich für das technische Training der HEAs and der Pilotactionplanung ist im Projekt das Energy Consumption Research Institut.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
227;CN6;Mul;Text2;ELF;8;Diese Studie sammelt die ersten Resultate der oben genannten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
228;CN6;Mul;Text2;ELF;9;"Der erste Teil der Studie fasst die Resultate der statistischen Analyse zusammen, welche durchgeführt wurde, um zu definieren, wer als ""energiearm"" oder ""energieverletzlich"" gilt, da es keine allgemeingültige Definition in Europa dafür gibt.";Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
229;CN6;Mul;Text2;ELF;10;"Das grösste Hindernis beim Durchführen dieser Analyse ist, dass die Daten, welche häufig als Standardindikatoren verwendet werden ( bspw. Tiefes-Einkommen, Hohe-Kosten), in vielen Ländern fehlen. Dadruch müssen neue Wege zur Bestimmung eines ""energie-verletzlichen-Ko";Das grösste Problem bei der Durchführung der Analyse war, dass viele Daten, die häufig als Standardindikatoren genutzt werden (z. B. niedriges Einkommen und hohe Ausgaben), in zahlreichen Ländern nicht verfügbar sind. Somit muss neu definiert werden, was energiegefährdete Konsumentinnen und Konsumenten ausmacht.
230;CQ0;Mul;Text2;ELF;6;Solche Berater sind speziell trainiert, um die Pilot Massnahmen zu implementieren, indem sie Energie gefährdete Konsumenten (VCs) darin instruieren, ihren Energieverbrauch zu optimieren ( und möglicherweise zu reduzieren), indem sie ihre Verhaltensweisen anpassen.;Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.
231;CQ0;Mul;Text2;ELF;7;In diesem Projekt ist das Energy Consumption Research Institu verantwortlich für das technische Training der HEAs und die Plannung der Pilot Massnahmen.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
232;CQ0;Mul;Text2;ELF;8;Dieser Artikel sammelt die ersten Resultate der oben erwähnten Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
233;CQ0;Mul;Text2;ELF;9;Der erste Teil des Artikels fasst die Resultate der statistischen Analysen, welche durchg;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
234;CU0;Mul;Text2;SE;2;Energiearmut ist eines der wichtigsten sozialen, technischen und gesetgeberischen Probleme im Moment in Europa mit einer geschätzen Zahl von 50 bis 125 Millionen Betroffener.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
235;CU0;Mul;Text2;SE;3;Die Europäische Kommission (EK) hat grosse Anstrengungen unternommen, um dieses Problem zu lösen, was sich beispielsweise in der kürzlich von Statten gegangenen Einführung der EU Energiearmutsbeobachtung im Januar 2018 zeigt.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
236;CU0;Mul;Text2;SE;4;Einer der von der EK hervorgehobenen Punkte ist die Wichtigkeit des Lernens aus Erfahrung und von den besten Praktiken, die in verschiedenen Mitgliedsstaaten (MS) angewandt werden.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
237;CU0;Mul;Text2;SE;5;M;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
238;CU1;Mul;Text2;SE;5;Mit diesem Hintergrund versucht das hier vorgestellte Projekt, das von der EU Kommission unter dem Grant Agreement 12345 finanziert wurde und welches das Consumption Resaerch Institute als Partner hat,die besten Praktiken und Empfehlungen zu finden um Energiarmut anzugehen.;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
239;CU1;Mul;Text2;SE;6;Es macht dies;Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
240;CU2;Mul;Text2;SE;2;Energiearmut ist eines der wichtigsten sozialen, technischen und gesetzgeberischen Probleme in Europe in der Gegenwart, wobei die geschätzte Anzahl der Betroffenen von 50 bis 125 Millionen reicht.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
241;CU2;Mul;Text2;SE;3;Die Europäische Kommission (EK) unternimmt grosse Anstrengungen, um dieses Problem zu lösen, was beispielsweise demonstriert wird durch die kürzliche Gründung des EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
242;CU2;Mul;Text2;SE;4;Einer der Aspekte, welche von der EK betont werden, ist die Wichtigkeit, von der Erfahrung und von den in den Mitgliedsta;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
243;CU3;Mul;Text2;ELF;2;Energiearmut ist eines der Hauptprobleme  Europas sowohl sozial, technologisch wie auch gesetzlich mit einer Anzahl von geschätzt 50 bis 125 Millionen betroffenen Menschen.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
244;CU3;Mul;Text2;ELF;3;Die Europäische Kommission (EC) hat sich grosse Mühen gemacht, dieses Problem zu lösen wie gezeigt wurde. Beispielsweise mit dem kürzlichen Start des EU Energy Poverty Observatory im Januar 2018.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
245;CU3;Mul;Text2;ELF;4;Einer der speziell dargelegten Punkte vom EC ist die Wichtigkeit von den Erfahrungen und Anwenungen, die in verschiedenen Mitgliedstaaten (MS) angewendet werden, zu lernen.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
246;CU3;Mul;Text2;ELF;5;M;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren. Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
247;CU4;Mul;Text2;SE;2;Energiearmut ist eines der Hauptprobleme im sozialen, technischen Bereich sowie in der Gesetzgebung Europas heute, wobei die Anzahl Betreoffener auf  50 bis 125 Millionen Personen geschätzt wird.;Gegenwärtig ist Energiearmut eines der grössten gesellschaftlichen, technischen und rechtlichen Probleme in Europa und betrifft schätzungsweise zwischen 50 und 125 Millionen Menschen. 
248;CU4;Mul;Text2;SE;3;Die EC hat viel Aufwand betrieben, um dieses Problem zu lösen, was sich beispielsweise durch die Gründung der EU Energy Poverty Observatory im Januar 2018m gezeigt hat.;Die Europäische Kommission bemüht sich sehr, Lösungen für die Probleme zu finden, beispielsweise mit der im Januar 2018 gegründeten EU-Beobachtungsstelle für Energiearmut.
249;CU4;Mul;Text2;SE;4;Einer der Punkte, der vom EC unterstrichen wird, ist, dass durch Erfahrung und von den besten Ansätzen diverser Mitgliedstaaten gelernt werden müsse.;Unter anderem legt die Europäische Kommission besonderen Wert darauf, von der Erfahrung und angewendeter Best Practice verschiedener EU-Mitgliedsstaaten zu lernen.
250;CU4;Mul;Text2;SE;5;In Anbetracht dessen, zielt das hier vorgestellte Projekt, dasvon der EU Kommission ;Vor diesem Hintergrund hat das vorliegende Projekt (finanziert durch die Europäische Kommission im Rahmen der Finanzhilfevereinbarung Nr. 12345) in Partnerschaft mit dem Forschungsinstitut für Energienutzung zum Ziel, Best Practices und Empfehlungen zur Verringerung der Energiearmut zu formulieren.
251;CU5;Mul;Text2;SE;6;Es tut dies mit dem Einsatz einer Serie von Pilotaktionen mit einer Gruppe von Beratern namens HEAs (Home Energy Advisors).;Dazu wird eine Reihe von Pilotmassnahmen ergriffen, gemeinsam mit einer Gruppe von Beraterinnen und Beratern, sogenannten Home Energy Advisors (HEAs).
252;CU5;Mul;Text2;SE;7;Diese Berater wurden spezifisch darauf trainiert, die Pilotaktionen umzusetzen, indem sie verletzliche Konsumenten schulen. Dies um deren Energiekonsum zu optimieren und möglicherweise zu reduzieren, vor allem durch Verhaltensänderung.;Diese HEAs werden eigens dazu ausgebildet, die Pilotmassnahmen umzusetzen und somit gefährdeten Haushalten zu zeigen, wie sie vorwiegend durch Verhaltensänderungen ihren Energieverbrauch optimieren und unter Umständen reduzieren können.
253;CU5;Mul;Text2;SE;8;In diesem Projekt ist das Energy Consumption Forschungsinstitut verantwortlich für das technische Training der HEAs und für die Planung der Pilotaktionen.;Im Rahmen dieses Projektes ist es die Aufgabe des Forschungsinstituts für Energienutzung, die HEAs fachlich auszubilden sowie die Pilotmassnahmen zu planen.
254;CU5;Mul;Text2;SE;9;Dieser Artikel präsentiert die ersten Resultate dieser zwei Aufgaben.;In diesem Artikel werden die ersten Resultate dieser zwei Aufgaben vorgestellt. 
255;CU5;Mul;Text2;SE;10;Der erste Teil des Artikels fa;Im ersten Teil dieses Artikels werden die Resultate einer statistischen Analyse zusammengefasst, die durchgeführt wurde, um die Begriffe «energiearme» und «energiegefährdete» Konsumentinnen und Konsumenten zu definieren, da es in Europa keine einheitliche Definition gibt.
